Rank,Company Name,Number of Employees,"Change in 
240,Murphy USA,"10,430",82,"$15,319",61.20%,$396.90,2.80%,"$4,048","$4,889"
241,Halliburton,"40,000",-30,"$15,295",5.90%,"$1,457.00",-,"$22,321","$34,029"
242,Automatic Data Processing,"56,000",-34,"$15,005",2.80%,"$2,598.50",5.40%,"$48,773","$95,577"
243,Edison International,"13,003",-17,"$14,905",9.80%,$759.00,2.70%,"$74,745","$26,694"
244,BorgWarner,"49,300",51,"$14,838",46.00%,$537.00,7.40%,"$16,575","$9,335"
245,Nordstrom,"72,000",44,"$14,789",38.00%,$178.00,-,"$8,869","$4,321"
246,Loews,"10,340",-7,"$14,657",16.50%,"$1,578.00",-,"$81,626","$15,971"
247,Guardian Life Ins. Co. of America,"9,150",-20,"$14,648",8.00%,$288.80,1128.50%,"$90,420",-
248,Pioneer Natural Resources,"1,932",180,"$14,643",119.00%,"$2,118.00",-,"$36,811","$60,728"
249,AutoZone,"85,050",-11,"$14,630",15.80%,"$2,170.30",25.20%,"$14,516","$40,583"
250,Lam Research,"14,100",54,"$14,626",45.60%,"$3,908.50",73.60%,"$15,892","$74,997"
251,American Family Insurance Group,"13,590",-19,"$14,612",11.80%,$734.50,82.20%,"$36,316",-
252,Illinois Tool Works,"45,000",-12,"$14,455",15.00%,"$2,694.00",27.70%,"$16,077","$65,312"
253,Parker-Hannifin,"54,640",-30,"$14,348",4.80%,"$1,746.10",44.70%,"$20,341","$36,457"
254,Otis Worldwide,"70,000",-18,"$14,298",12.10%,"$1,246.00",37.50%,"$12,279","$32,701"
255,Omnicom Group,"71,700",-26,"$14,289",8.50%,"$1,407.80",48.90%,"$28,422","$17,566"
256,Principal Financial,"18,600",-50,"$14,263",-3.20%,"$1,710.60",22.60%,"$304,657","$19,177"
257,Dominion Energy,"17,100",-64,"$14,218",-11.80%,"$3,288.00",-,"$99,590","$68,883"
258,Kellogg,"31,000",-36,"$14,181",3.00%,"$1,488.00",18.90%,"$18,178","$21,890"
259,Fluor,"40,582",-63,"$14,157",-10.90%,-$440.20,-,"$7,280","$4,052"
260,AECOM,"51,000",-71,"$14,112",-13.90%,$173.20,-,"$11,734","$10,857"
261,Reliance Steel & Aluminum,"13,950",82,"$14,093",59.90%,"$1,413.00",282.80%,"$9,536","$11,314"
262,Jacobs Engineering Group,"53,500",-37,"$14,093",3.80%,$477.00,-3.00%,"$14,633","$17,807"
263,Corning,"61,200",14,"$14,082",24.60%,"$1,906.00",272.30%,"$30,154","$31,213"
264,Farmers Insurance Exchange,"11,787",-8,"$14,055",18.40%,-$366.80,-,"$21,741",-
265,Qurate Retail,"26,745",-49,"$14,044",-0.90%,$340.00,-71.80%,"$16,249","$1,807"
266,Pacific Life,"3,861",37,"$13,936",38.50%,"$1,102.00",-,"$209,486",-
267,PulteGroup,"6,182",17,"$13,927",26.20%,"$1,946.30",38.30%,"$13,353","$10,116"
268,Fidelity National Information Services,"65,000",-27,"$13,877",10.60%,$417.00,163.90%,"$82,931","$61,215"
269,IQVIA Holdings,"79,000",6,"$13,874",22.10%,$966.00,246.20%,"$24,689","$44,141"
270,Marriott International,"120,000",23,"$13,857",31.10%,"$1,099.00",-,"$25,553","$57,515"
271,Berry Global Group,"47,000",-10,"$13,850",18.30%,$733.00,31.10%,"$17,882","$7,832"
272,Ball,"24,300",-12,"$13,811",17.20%,$878.00,50.10%,"$19,714","$28,909"
273,Group 1 Automotive,"13,711",13,"$13,802",27.20%,$552.10,92.70%,"$5,749","$2,860"
274,Leidos Holdings,"43,000",-26,"$13,737",11.70%,$753.00,19.90%,"$13,261","$14,728"
275,Wayfair,"16,681",-58,"$13,708",-3.10%,-$131.00,-170.80%,"$4,570","$11,642"
276,Consolidated Edison,"13,871",-27,"$13,676",11.70%,"$1,346.00",22.30%,"$63,116","$33,525"
277,Ameriprise Financial,"12,000",-24,"$13,443",12.40%,"$2,760.00",79.90%,"$175,979","$33,213"
278,Xcel Energy,"11,321",-6,"$13,431",16.50%,"$1,597.00",8.40%,"$57,851","$39,276"
279,O'Reilly Automotive,"76,158",-11,"$13,328",14.80%,"$2,164.70",23.50%,"$11,719","$45,410"
280,Global Partners,"2,960",81,"$13,248",59.20%,$60.80,-40.50%,"$2,831",$927
281,Discover Financial Services,"16,700",-48,"$13,221",2.10%,"$5,449.00",377.60%,"$110,242","$31,077"
282,Rocket Companies,"26,000",-88,"$13,176",-17.60%,$308.20,55.70%,"$32,775","$21,906"
283,LKQ,"46,000",-17,"$13,089",12.60%,"$1,090.90",70.90%,"$12,606","$12,941"
284,W.W. Grainger,"23,450",-26,"$13,022",10.40%,"$1,043.00",50.10%,"$6,592","$26,358"
285,Quanta Services,"43,700",-7,"$12,980",15.90%,$486.00,9.10%,"$12,855","$18,780"
286,Crown Holdings,"26,000",-17,"$12,979",12.10%,-$560.00,-196.70%,"$13,858","$15,461"
287,Fox,"9,000",-40,"$12,909",4.90%,"$2,150.00",115.20%,"$22,926","$21,423"
288,Sempra,"15,390",-33,"$12,857",7.70%,"$1,317.00",-66.50%,"$72,045","$53,088"
289,Markel,"20,300",22,"$12,846",32.00%,"$2,425.00",197.20%,"$48,449","$20,038"
290,Carvana,"21,000",193,"$12,814",129.40%,-$135.00,-,"$7,015","$19,550"
291,XPO Logistics,"44,700",-101,"$12,806",-21.20%,$336.00,205.50%,"$8,707","$8,357"
292,Baxter International,"60,000",-28,"$12,784",9.50%,"$1,284.00",16.50%,"$33,521","$39,018"
293,Ecolab,"47,000",-56,"$12,733",-0.10%,"$1,129.90",-,"$21,206","$50,548"
294,Tractor Supply,"34,000",-3,"$12,731",19.90%,$997.10,33.10%,"$7,768","$26,172"
295,Andersons,"2,334",71,"$12,729",55.10%,$104.00,1248.70%,"$4,569","$1,708"
296,Keurig Dr Pepper,"27,500",-29,"$12,683",9.20%,"$2,146.00",62.00%,"$50,598","$53,748"
297,Universal Health Services,"78,850",-27,"$12,642",9.40%,$991.60,5.00%,"$13,094","$10,843"
298,CSX,"20,919",-6,"$12,522",18.30%,"$3,781.00",36.70%,"$40,531","$81,588"
299,Henry Schein,"21,600",-1,"$12,401",22.60%,$631.20,56.30%,"$8,481","$11,960"
300,Sonic Automotive,"10,200",8,"$12,396",26.90%,$348.90,-,"$4,975","$1,729"
301,eBay,"10,800",-25,"$12,394",9.20%,"$13,608.00",140.10%,"$26,626","$33,642"
302,Textron,"33,000",-37,"$12,382",6.30%,$746.00,141.40%,"$15,827","$16,091"
303,Jones Financial (Edward Jones),"50,000",-8,"$12,373",21.70%,"$1,605.00",24.90%,"$32,208",-
304,Community Health Systems,"58,500",-45,"$12,368",4.90%,$230.00,-55.00%,"$15,217","$1,599"
305,Mosaic,"12,525",41,"$12,357",42.30%,"$1,630.60",144.80%,"$22,036","$24,493"
306,Thor Industries,"31,000",62,"$12,317",50.80%,$659.90,195.90%,"$6,654","$4,331"
307,Dick's Sporting Goods,"34,300",13,"$12,293",28.30%,"$1,519.90",186.60%,"$9,042","$7,987"
308,Newmont,"14,400",-35,"$12,222",6.30%,"$1,166.00",-58.80%,"$40,564","$62,968"
309,Devon Energy,"1,600",211,"$12,206",139.80%,"$2,813.00",-,"$21,025","$39,274"
310,Warner Bros. Discovery,"11,000",-20,"$12,191",14.20%,"$1,006.00",-17.50%,"$34,427","$12,701"
311,J.B. Hunt Transport Services,"33,045",4,"$12,168",26.30%,$760.80,50.30%,"$6,794","$21,053"
312,Alcoa,"12,200",18,"$12,152",30.90%,$429.00,-,"$15,025","$16,603"
313,Peter Kiewit Sons',"28,800",-70,"$12,149",-2.50%,$753.00,-8.80%,"$6,238",-
314,Aramark,"248,300",-79,"$12,096",-5.70%,-$90.80,-,"$14,376","$9,656"
315,Vistra,"5,060",-41,"$12,077",5.50%,"-$1,274.00",-300.30%,"$29,683","$10,435"
316,State Street,"38,784",-64,"$12,030",-0.40%,"$2,693.00",11.30%,"$314,624","$31,892"
317,Unum Group,"10,200",-87,"$12,014",-8.70%,$824.20,3.90%,"$70,116","$6,383"
318,Alleghany,"13,313",21,"$12,004",34.90%,"$1,034.90",917.10%,"$32,269","$11,396"
319,Boston Scientific,"41,000",-14,"$11,888",19.90%,"$1,041.00",-,"$32,229","$63,310"
320,Westlake,"14,550",68,"$11,778",57.00%,"$2,015.00",510.60%,"$18,459","$15,785"
321,Entergy,"12,369",-21,"$11,743",16.10%,"$1,118.50",-19.40%,"$59,454","$23,760"
322,International Flavors & Fragrances,"24,000",200,"$11,656",129.30%,$270.00,-25.70%,"$39,658","$33,456"
323,DaVita,"69,000",-52,"$11,619",0.60%,$978.50,26.50%,"$17,122","$10,893"
324,Mutual of Omaha Insurance,"5,739",-42,"$11,459",3.30%,$579.00,-17.10%,"$49,853",-
325,Assurant,"15,600",-23,"$11,410",13.00%,"$1,372.40",210.60%,"$33,912","$10,493"
326,Liberty Media,"6,886",-,"$11,400",21.80%,$398.00,-,"$44,351","$15,239"
327,Hormel Foods,"20,000",-10,"$11,386",18.50%,$908.80,0.10%,"$12,696","$28,089"
328,Icahn Enterprises,"19,536",125,"$11,328",85.00%,-$518.00,-,"$27,746","$15,237"
329,Republic Services,"35,000",-32,"$11,295",11.20%,"$1,290.40",33.40%,"$24,955","$41,842"
330,Mohawk Industries,"43,000",-9,"$11,201",17.30%,"$1,033.20",100.40%,"$14,225","$8,082"
331,Conagra Brands,"18,600",-48,"$11,185",1.20%,"$1,298.80",54.60%,"$22,196","$16,104"
332,Norfolk Southern,"18,100",-25,"$11,142",13.80%,"$3,005.00",49.30%,"$38,493","$68,389"
333,AES,"8,450",-20,"$11,141",15.30%,-$409.00,-989.10%,"$32,963","$17,172"
334,AGCO,"23,300",-3,"$11,138",21.70%,$897.00,110.00%,"$9,182","$10,885"
335,Caesars Entertainment,"49,000",340,"$11,110",219.80%,"-$1,019.00",-,"$38,031","$16,565"
336,Equitable Holdings,"10,000",-92,"$11,036",-11.10%,-$439.00,-,"$292,262","$12,041"
337,Advance Auto Parts,"54,500",-36,"$10,998",8.80%,$616.10,25.00%,"$12,194","$12,645"
338,Biogen,"9,610",-110,"$10,982",-18.30%,"$1,556.10",-61.10%,"$23,877","$30,950"
339,Auto-Owners Insurance,"6,441",2,"$10,980",24.00%,"$1,318.40",59.00%,"$32,487",-
340,Booking Holdings,"20,199",84,"$10,958",61.20%,"$1,165.00",1874.60%,"$23,641","$96,023"
341,Amphenol,"90,000",8,"$10,876",26.50%,"$1,590.80",32.20%,"$14,678","$45,130"
342,Quest Diagnostics,"44,500",-18,"$10,788",14.30%,"$1,995.00",39.40%,"$13,611","$16,349"
343,FirstEnergy,"12,395",-49,"$10,758",3.10%,"$1,283.00",18.90%,"$45,432","$26,182"
344,DCP Midstream,"1,788",98,"$10,707",69.90%,$391.00,-,"$13,380","$6,993"
345,Ally Financial,"10,500",-58,"$10,690",-0.80%,"$3,060.00",182.00%,"$182,114","$14,412"
346,Delek US Holdings,"3,312",51,"$10,648",45.80%,-$203.50,-,"$6,728","$1,500"
347,Williams,"4,783",32,"$10,627",37.70%,"$1,517.00",619.00%,"$47,612","$40,670"
348,Newell Brands,"32,000",-23,"$10,589",12.80%,$572.00,-,"$14,179","$8,902"
349,Eastman Chemical,"14,000",6,"$10,476",23.60%,$857.00,79.30%,"$15,519","$14,450"
350,Air Products & Chemicals,"20,750",-10,"$10,323",16.60%,"$2,099.10",11.30%,"$26,859","$55,409"
351,Thrivent Financial for Lutherans,"3,256",18,"$10,313",26.50%,"$2,530.20",297.20%,"$116,525",-
352,Molson Coors Beverage,"16,300",-38,"$10,280",6.50%,"$1,005.70",-,"$27,619","$11,632"
353,Interpublic Group,"55,600",-19,"$10,241",13.00%,$952.80,171.40%,"$19,909","$13,966"
354,Weyerhaeuser,"9,214",33,"$10,201",35.40%,"$2,607.00",227.10%,"$17,652","$28,315"
355,Altice USA,"9,000",-49,"$10,091",2.00%,$990.30,127.00%,"$33,215","$5,674"
356,Raymond James Financial,"15,000",11,"$9,910",21.30%,"$1,403.00",71.50%,"$61,891","$22,818"
357,EMCOR Group,"34,000",-13,"$9,904",12.60%,$383.50,188.50%,"$5,441","$5,932"
358,Eversource Energy,"9,227",-20,"$9,863",10.80%,"$1,220.50",1.30%,"$48,492","$30,403"
359,Yum China Holdings,"298,500",4,"$9,853",19.20%,$990.00,26.30%,"$13,223","$17,679"
360,Asbury Automotive Group,"14,200",45,"$9,838",37.90%,$532.40,109.30%,"$8,003","$3,715"
361,Owens & Minor,"17,300",-16,"$9,785",12.40%,$221.60,641.80%,"$3,537","$3,376"
362,Public Service Enterprise Group,"12,684",-44,"$9,722",1.20%,-$648.00,-134.00%,"$48,999","$35,146"
363,United Rentals,"20,400",-11,"$9,716",13.90%,"$1,386.00",55.70%,"$20,292","$25,643"
364,MGM Resorts International,"60,500",153,"$9,680",87.50%,"$1,254.40",-,"$40,899","$18,258"
365,Ryder System,"42,800",-8,"$9,663",14.80%,$519.00,-,"$13,834","$4,055"
366,Intuit,"17,350",14,"$9,633",25.40%,"$2,062.00",12.90%,"$15,516","$135,988"
367,Cincinnati Financial,"5,166",19,"$9,630",27.80%,"$2,945.60",142.20%,"$31,387","$21,813"
368,Erie Insurance Group,"5,805",-21,"$9,620",11.00%,"$1,130.10",-3.70%,"$27,297",-
369,Univar Solutions,"9,450",-7,"$9,536",15.40%,$460.60,770.70%,"$6,778","$5,460"
370,Huntington Ingalls Industries,"44,000",-43,"$9,524",1.70%,$544.00,-21.80%,"$10,627","$7,991"
371,W.R. Berkley,"7,681",1,"$9,456",16.70%,"$1,022.50",92.70%,"$32,086","$17,659"
372,Western & Southern Financial Group,"2,538",2,"$9,442",17.20%,$361.20,76.70%,"$62,877",-
373,Insight Enterprises,"11,624",-13,"$9,436",13.10%,$219.30,27.10%,"$4,689","$3,745"
374,News Corp.,"24,000",-37,"$9,358",3.90%,$330.00,-,"$16,771","$13,128"
375,American Tower,"6,378",-,"$9,357",16.40%,"$2,567.70",51.90%,"$69,888","$114,527"
376,Old Republic International,"9,600",25,"$9,342",30.40%,"$1,534.30",174.70%,"$24,982","$7,973"
377,Burlington Stores,"38,599",94,"$9,322",61.70%,$408.80,-,"$7,090","$12,113"
378,Avis Budget Group,"18,500",120,"$9,313",72.40%,"$1,285.00",-,"$22,600","$14,157"
379,ODP,"26,000",-67,"$9,267",-4.60%,-$208.00,-,"$4,865","$2,222"
380,VF,"33,600",-117,"$9,239",-21.00%,$407.90,-40.00%,"$13,754","$22,113"
381,Bed Bath & Beyond,"37,600",-101,"$9,233",-17.30%,-$150.80,-,"$6,457","$2,171"
382,Seaboard,"13,200",24,"$9,229",29.50%,$570.00,101.40%,"$7,503","$4,882"
383,First American Financial,"22,233",26,"$9,221",30.10%,"$1,241.00",78.20%,"$16,451","$7,087"
384,Intercontinental Exchange,"8,858",-19,"$9,168",11.20%,"$4,058.00",94.30%,"$193,502","$74,045"
385,PVH,"25,000",19,"$9,155",28.40%,$952.30,-,"$12,397","$5,210"
386,Apollo Global Management,"2,153",552,"$9,124",332.20%,"$1,838.50",1073.90%,"$30,502","$37,194"
387,Jefferies Financial Group,"5,556",32,"$9,040",30.00%,"$1,674.40",116.00%,"$60,404","$7,934"
388,Hershey,"17,805",-18,"$8,971",10.10%,"$1,477.50",15.50%,"$10,412","$44,462"
389,NVR,"6,600",-6,"$8,970",18.60%,"$1,236.70",37.20%,"$5,835","$15,011"
390,Foot Locker,"33,244",-5,"$8,958",18.70%,$893.00,176.50%,"$8,135","$2,850"
391,Dana,"40,200",17,"$8,945",25.90%,$197.00,-,"$7,632","$2,544"
392,SpartanNash,"13,300",-63,"$8,931",-4.50%,$73.80,-2.80%,"$2,207","$1,185"
393,Olin,"7,750",79,"$8,911",54.80%,"$1,296.70",-,"$8,518","$8,062"
394,Chewy,"21,300",9,"$8,891",24.40%,-$73.80,-,"$2,086","$17,147"
395,Jackson Financial,"3,150",-,"$8,848",-,"$3,183.00",-,"$375,484","$3,895"
396,Activision Blizzard,"9,800",-23,"$8,803",8.90%,"$2,699.00",22.80%,"$25,056","$62,560"
397,Toll Brothers,"5,100",14,"$8,790",24.20%,$833.60,86.70%,"$11,538","$5,515"
398,Carlyle Group,"1,850",360,"$8,782",199.30%,"$2,974.70",754.30%,"$21,250","$17,428"
399,Graybar Electric,"8,800",-,"$8,767",20.70%,$262.40,115.40%,"$3,069",-
400,Ovintiv,"1,713",58,"$8,658",42.20%,"$1,416.00",-,"$14,055","$13,988"
401,UFP Industries,"15,000",117,"$8,636",67.60%,$535.60,117.10%,"$3,245","$4,791"
402,Ulta Beauty,"28,500",49,"$8,631",40.30%,$985.80,460.70%,"$4,764","$20,838"
403,Constellation Brands,"9,300",-44,"$8,615",3.30%,"$1,998.00",-,"$27,105","$43,764"
404,Expedia Group,"14,800",111,"$8,598",65.40%,$12.00,-,"$21,548","$30,477"
405,CommScope Holding,"30,000",-49,"$8,587",1.80%,-$462.60,-,"$13,260","$1,630"
406,Celanese,"8,529",71,"$8,537",51.00%,"$1,890.00",-4.80%,"$11,975","$15,434"
407,Global Payments,"25,000",-13,"$8,524",14.80%,$965.50,65.20%,"$45,280","$38,546"
408,Owens Corning,"20,000",5,"$8,498",20.50%,$995.00,-,"$10,015","$9,065"
409,Campbell Soup,"14,100",-74,"$8,476",-6.30%,"$1,002.00",-38.50%,"$11,734","$13,447"
410,Huntsman,"9,000",50,"$8,453",40.30%,"$1,045.00",1.10%,"$9,392","$8,047"
411,Franklin Resources,"10,300",73,"$8,426",51.40%,"$1,831.20",129.20%,"$24,168","$14,019"
412,Avery Dennison,"36,000",5,"$8,408",20.60%,$740.10,33.10%,"$7,972","$14,327"
413,Masco,"20,000",-15,"$8,375",14.90%,$410.00,-66.50%,"$5,575","$12,063"
414,CenterPoint Energy,"9,418",-72,"$8,352",-5.50%,"$1,486.00",-,"$37,679","$19,286"
415,Fifth Third Bancorp,"19,112",-57,"$8,329",-0.90%,"$2,770.00",94.10%,"$211,116","$29,511"
416,WEC Energy Group,"6,938",-16,"$8,316",14.80%,"$1,300.30",8.40%,"$38,989","$31,484"
417,S&P Global,"22,850",-24,"$8,297",11.50%,"$3,024.00",29.30%,"$15,026","$142,344"
418,FM Global,"5,560",5,"$8,275",21.70%,"$2,842.40",64.10%,"$32,161",-
419,Polaris,"16,000",-12,"$8,252",16.10%,$493.90,295.80%,"$5,048","$6,264"
420,Williams-Sonoma,"16,600",5,"$8,246",21.60%,"$1,126.30",65.50%,"$4,626","$10,376"
421,Autoliv,"58,176",-29,"$8,230",10.50%,$435.00,132.70%,"$7,537","$6,691"
422,Arthur J. Gallagher,"39,000",-6,"$8,209",17.20%,$906.80,10.70%,"$33,345","$36,599"
423,Motorola Solutions,"18,700",-28,"$8,171",10.20%,"$1,245.00",31.20%,"$12,189","$40,556"
424,Zillow Group,"8,005",268,"$8,147",143.90%,-$527.80,-,"$10,696","$12,287"
425,Opendoor Technologies,"2,816",394,"$8,021",210.50%,-$662.00,-,"$9,506","$5,364"
426,J.M. Smucker,"7,100",-48,"$8,003",2.60%,$876.30,12.40%,"$16,284","$14,686"
427,Anywhere Real Estate,"9,748",18,"$7,983",28.30%,$343.00,-,"$7,210","$1,852"
428,Oshkosh,"15,000",-6,"$7,953",16.00%,$409.40,26.20%,"$6,722","$6,704"
429,MasTec,"27,000",12,"$7,952",25.80%,$328.80,1.90%,"$7,121","$6,657"
430,GXO Logistics,"97,500",-,"$7,940",-,$153.00,-,"$7,271","$8,193"
431,APA,"2,253",164,"$7,928",84.00%,$973.00,-,"$13,303","$14,332"
432,Boise Cascade,"6,130",61,"$7,926",44.80%,$712.50,307.20%,"$2,573","$2,740"
433,Dover,"25,000",-4,"$7,907",18.30%,"$1,123.80",64.40%,"$10,404","$22,610"
434,Genworth Financial,"2,500",-86,"$7,882",-9.00%,$904.00,407.90%,"$99,171","$1,918"
435,Bath & Body Works,"32,850",-178,"$7,882",-33.50%,"$1,333.50",57.90%,"$6,026","$11,420"
436,Booz Allen Hamilton Holding,"27,700",-45,"$7,859",5.30%,$609.00,26.20%,"$5,500","$11,705"
437,Coinbase Global,"3,730",-,"$7,839",513.70%,"$3,624.10",1024.40%,"$21,274","$41,670"
438,Zimmer Biomet Holdings,"19,500",-24,"$7,836",11.60%,$401.60,-,"$23,456","$26,772"
439,Westinghouse Air Brake Technologies,"25,000",-55,"$7,822",3.50%,$558.00,34.70%,"$18,454","$17,819"
440,Zoetis,"12,100",-9,"$7,776",16.50%,"$2,037.00",24.40%,"$13,900","$89,009"
441,Packaging Corp. of America,"15,200",-8,"$7,730",16.10%,$841.10,82.50%,"$7,837","$14,628"
442,LPL Financial Holdings,"5,919",24,"$7,721",31.50%,$459.90,-2.70%,"$7,992","$14,609"
443,T. Rowe Price,"7,529",4,"$7,672",23.60%,"$3,082.90",29.90%,"$12,509","$34,443"
444,Fortune Brands Home & Security,"28,056",12,"$7,656",25.70%,$772.40,39.60%,"$7,936","$9,831"
445,Casey's General Stores,"27,583",-74,"$7,654",-5.60%,$312.90,18.60%,"$4,460","$7,354"
446,A-Mark Precious Metals,347,49,"$7,613",39.40%,$159.60,423.20%,"$1,192",$891
447,Hess,"1,545",96,"$7,583",57.80%,$559.00,-,"$20,515","$33,155"
448,Vertex Pharmaceuticals,"3,900",-,"$7,574",22.10%,"$2,342.10",-13.60%,"$13,433","$66,437"
449,KeyCorp,"16,974",-53,"$7,561",3.10%,"$2,625.00",95.50%,"$186,346","$20,593"
450,Chipotle Mexican Grill,"97,660",14,"$7,547",26.10%,$653.00,83.50%,"$6,653","$44,347"
451,CMS Energy,"8,813",-21,"$7,538",12.80%,"$1,353.00",79.20%,"$28,753","$20,292"
452,Arconic,"13,900",24,"$7,504",32.20%,-$397.00,-,"$6,580","$2,691"
453,Taylor Morrison Home,"3,000",-1,"$7,501",22.40%,$663.00,172.40%,"$8,728","$3,302"
454,American Financial Group,"6,600",-78,"$7,462",-5.70%,"$1,995.00",172.50%,"$28,931","$12,368"
455,UGI,"11,300",-19,"$7,447",13.50%,"$1,467.00",175.80%,"$16,723","$7,599"
456,Science Applications International,"25,090",-44,"$7,394",4.80%,$277.00,32.50%,"$5,746","$5,166"
457,Avantor,"13,500",-19,"$7,386",15.50%,$572.60,391.10%,"$13,897","$20,629"
458,Hanesbrands,"58,000",-26,"$7,348",10.30%,$77.20,-,"$7,071","$5,191"
459,Clorox,"9,000",-32,"$7,341",9.20%,$710.00,-24.40%,"$6,334","$17,109"
460,KBR,"28,000",10,"$7,339",27.30%,$18.00,-,"$6,199","$7,635"
461,TravelCenters of America,"16,540",79,"$7,337",51.40%,$58.50,-,"$3,509",$638
462,Hertz Global Holdings,"23,000",46,"$7,336",39.50%,$366.00,-,"$19,783","$9,509"
463,Analog Devices,"24,700",18,"$7,318",30.60%,"$1,390.40",13.90%,"$52,322","$86,441"
464,Securian Financial Group,"6,941",-43,"$7,317",6.50%,$311.50,28.10%,"$75,169",-
465,Darden Restaurants,"156,883",-88,"$7,196",-7.80%,$629.30,-,"$10,656","$16,981"
466,Graphic Packaging Holding,"25,000",-31,"$7,156",9.10%,$204.00,21.90%,"$10,457","$6,154"
466,NCR,"38,000",-20,"$7,156",15.30%,$97.00,-,"$11,641","$5,475"
468,Brighthouse Financial,"1,500",-115,"$7,142",-16.00%,-$108.00,-,"$259,840","$3,959"
469,PPL,"5,607",-87,"$7,127",-6.30%,"-$1,480.00",-200.70%,"$33,223","$21,002"
470,Cintas,"40,000",-60,"$7,116",0.40%,"$1,111.00",26.80%,"$8,237","$43,567"
471,Xerox Holdings,"23,300",-56,"$7,038",0.20%,-$455.00,-337.00%,"$13,223","$3,123"
472,Rockwell Automation,"24,500",-32,"$6,997",10.50%,"$1,358.10",32.70%,"$10,702","$32,538"
473,Citizens Financial Group,"17,463",-92,"$6,986",-9.00%,"$2,319.00",119.40%,"$188,409","$19,136"
474,KLA,"11,425",-6,"$6,919",19.20%,"$2,078.30",70.80%,"$10,271","$55,171"
475,Camping World Holdings,"12,834",21,"$6,914",26.90%,$278.50,127.60%,"$4,373","$2,665"
476,Ingredion,"12,000",-13,"$6,894",15.10%,$117.00,-66.40%,"$6,999","$5,814"
477,Veritiv,"6,100",-38,"$6,851",8.00%,$144.60,322.80%,"$2,438","$2,008"
478,Beacon Roofing Supply,"6,676",-58,"$6,820",-1.80%,$243.00,-,"$5,549","$4,176"
479,Diamondback Energy,870,302,"$6,797",141.60%,"$2,182.00",-,"$22,898","$24,320"
480,Victoria's Secret,"24,000",-,"$6,785",-,$646.40,-,"$4,344","$4,330"
481,Academy Sports and Outdoors,"16,508",-6,"$6,773",19.10%,$671.40,117.40%,"$4,585","$3,434"
482,Sanmina,"33,500",-64,"$6,757",-2.90%,$269.00,92.50%,"$4,207","$2,569"
483,ON Semiconductor,"31,650",26,"$6,740",28.30%,"$1,009.60",331.10%,"$9,626","$27,079"
484,Commercial Metals,"11,089",8,"$6,730",22.90%,$412.90,47.70%,"$4,639","$5,057"
